model,dataset,latent_dim,max_f1_threshold,runtime,max_f1_recall,avg_memory,max_f1_score,time_per_instance,memory_usage,ROC-AUC,score,PR-AUC,max_f1_precision,lr,max_f1_threshold_std,runtime_std,max_f1_recall_std,avg_memory_std,max_f1_score_std,time_per_instance_std,memory_usage_std,roc_auc_std,score_std,pr_auc_std,max_f1_precision_std,lr_std
AE,covertype,1.3,3.819772002,26.998301602,0.6590405904,52.48364,0.65642287396,0.00045399656296,52.547,0.99081862892,0.94692682742,0.6647332152,0.65783485198,0.02,0.254119230115947,3.58374077725842,0.0287136090227166,0,0.0260518567984856,3.8366787845929e-05,0,0.0028805033367293,0.0064581280075083,0.0377351698848383,0.0619240383359191,0
AE,covertype,1.4,3.7738312492,22.87696228,0.6450184502,52.48364,0.65281898632,0.00045525221824,52.547,0.98861132164,0.94757507688,0.65996425468,0.66267610706,0.02,0.0431855464557352,0.748262968343764,0.0719154963526944,0,0.0518665034554671,5.42906315280295e-05,0,0.0068361312942316,0.0051850940666497,0.0748690350842538,0.0426729458428878,0
AE,covertype,1.5,3.9495769742,20.71424141,0.66236162362,52.48364,0.7056083983,0.0004156486988,52.547,0.99352364128,0.94268271066,0.7512180545,0.75785354502,0.02,0.223603916317235,0.569741126657564,0.0494210156175764,0,0.0385935086098109,4.89110907653573e-05,0,0.0001840734380602,0.0076674416077054,0.0432932096982241,0.0560499456217173,0
AE,covertype,1.6,3.9495769742,17.72118225,0.66236162362,52.48364,0.7056083983,0.0003678832053999,52.547,0.99352364128,0.94268271066,0.7512180545,0.75785354502,0.02,0.223603916317235,0.750014968018522,0.0494210156175764,0,0.0385935086098109,4.41562266653693e-05,0,0.0001840734380602,0.0076674416077054,0.0432932096982241,0.0560499456217173,0
AE,covertype,1.7,3.8642212008,18.018815852,0.6228782288,52.48364,0.64564290088,0.00035806832312,52.547,0.9893602817,0.94391432364,0.66541663336,0.67333237106,0.02,0.24538708308778,0.36987240015835,0.0179166396894925,0,0.0378038112856488,1.71012037133212e-05,0,0.0010577134160081,0.0062524151232003,0.064694442593214,0.0739820147868334,0
AE,covertype,1.8,3.7585814634,17.951773454,0.69446494466,52.48364,0.70080274288,0.00036058049204,52.547,0.99334818214,0.94313223796,0.73675462158,0.70803962026,0.02,0.194490089892673,0.209384311603762,0.0856156155943152,0,0.0860815914253747,1.5092393154888e-05,0,0.0034343556217459,0.0049880555597464,0.100183373156336,0.0896366558711192,0
AE,covertype,1.9,3.7585814634,18.449393176,0.69446494466,52.48364,0.70080274288,0.00036384449008,52.547,0.99334818214,0.94313223796,0.73675462158,0.70803962026,0.02,0.194490089892673,0.557384773434843,0.0856156155943152,0,0.0860815914253747,2.50885654788943e-05,0,0.0034343556217459,0.0049880555597464,0.100183373156336,0.0896366558711192,0
AE,covertype,2.0,3.832444744,18.066718864,0.68413284132,52.48364,0.71432730226,0.00034674916266,52.547,0.99403936456,0.9428432191,0.75334717542,0.74932893788,0.02,0.185420988359834,0.182611349405327,0.0806591761469891,0,0.0656241135123879,8.81240776436752e-06,0,0.0019620715538354,0.0052887724291567,0.0653189907242385,0.0584400515577659,0
AE,creditcard,0.1,10.1535899098,19.462105466,0.5081081081,52.48364,0.54336979604,0.00039227428436,52.547,0.97158440338,0.99838285146,0.4410519492,0.5842327581,0.02,0.368651617109355,0.116927002984641,0.0088097329903679,0,0.0050584191649554,1.6602087335255e-05,0,0.0012714108832639,0.000992109026806,0.0058240235471122,0.0138033765501076,0
AE,creditcard,0.2,10.2453625886,19.744613124,0.50405405406,52.48364,0.54806699114,0.0004033395290199,52.547,0.9704950166,0.9981671429,0.45168841272,0.60137523344,0.02,0.260903841676552,0.267267449131426,0.0162724251026604,0,0.0052107023111264,4.23322564861335e-05,0,0.0010892148572982,0.0012054446066373,0.0113759213322136,0.0165671786353907,0
