optimizer_fn,dataset,model,lr,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,subsample,seed,PR-AUC_std,ROC-AUC_std,Max F1_std,Max F1 Precision_std,Max F1 Recall_std,runtime_std,subsample_std,seed_std
adam,covertype,DAE,0.0020000000000000005,0.5230179926223657,0.9849258396441783,0.4968423654739872,0.4689723028288529,0.5304428044280443,34.82209055423736,50000.0,46.5,0.03218603575016085,0.0013782518988390282,0.022143823170436984,0.02664483399436465,0.03796386686653011,0.352277711280529,0.0,3.0276503540974917
adam,covertype,DAE,0.004000000000000001,0.37235844435234255,0.9738582992405199,0.378597196184444,0.34313359075040323,0.4511070110701107,34.675280809402466,50000.0,46.5,0.0190247045426696,0.0025858178149554913,0.014209594289759852,0.062174696457737134,0.088043666981054,0.2739885844272775,0.0,3.0276503540974917
adam,covertype,DAE,0.008000000000000004,0.31041673872603337,0.9577399079826053,0.33054840189624823,0.26430182274877334,0.45682656826568263,34.681834483146666,50000.0,46.5,0.01830017951925566,0.003102156383484675,0.01979996021152019,0.03402174282315699,0.063528676654339,0.32061561071743,0.0,3.0276503540974917
adam,covertype,DAE,0.016,0.24872835946565647,0.9376773785025246,0.2987966207257672,0.23322585760253048,0.4215867158671586,34.66383030414581,50000.0,46.5,0.01748118133620968,0.004751496068553884,0.009669771397008342,0.014420886516001659,0.04559556218973435,0.2697215935975282,0.0,3.0276503540974917
adam,covertype,DAE,0.03200000000000001,0.18372623959411233,0.8952359219697984,0.2548664501409969,0.2188871147656346,0.31845018450184504,34.84005434513092,50000.0,46.5,0.009002048277504228,0.007391408237942288,0.00956484685616793,0.021731792242795225,0.05963466999591497,0.3408432787742312,0.0,3.0276503540974917
adam,covertype,DAE,0.06399999999999999,0.37813437877308864,0.9350534144368498,0.5077073424154754,0.44696401551627873,0.6035055350553505,35.802406001091,50000.0,46.5,0.06094932595237099,0.013213048913516911,0.04845765433426541,0.06757127718784853,0.08267407605696922,2.8399502366651412,0.0,3.0276503540974917
adam,covertype,DAE,0.128,0.4095297839796534,0.9132065203037085,0.4866069778184441,0.5490550351691574,0.4498154981549815,35.11370334625244,50000.0,46.5,0.18399356333997396,0.057052588933782254,0.11691080449048469,0.12696130020235702,0.12646356973093115,0.2485703168075583,0.0,3.0276503540974917
adam,covertype,DAE,0.256,0.41984906145172685,0.9433959359307289,0.48796559491392627,0.5676773480471617,0.442619926199262,35.251907157897946,50000.0,46.5,0.12891748780418139,0.03394609695744728,0.10396379455582505,0.1413947469295831,0.12531178540664456,0.48933350824791294,0.0,3.0276503540974917
adam,covertype,PW-AE,0.001,0.4733962143394198,0.9850957217566838,0.5514811984335521,0.49796466129835604,0.6239852398523985,37.17303950786591,50000.0,46.5,0.05613115376758176,0.0027365586588412494,0.021656217826030333,0.02834753143405053,0.06616277208378167,0.34106586714388276,0.0,3.0276503540974917
adam,covertype,PW-AE,0.0020000000000000005,0.42396827693469374,0.9772304772665585,0.4847901563300946,0.44730902426912544,0.5350553505535055,37.34635820388794,50000.0,46.5,0.05634144766392472,0.005412007312707796,0.036081460096932805,0.051380049641142685,0.05341709901748696,0.8422967211708674,0.0,3.0276503540974917
